Speed,LapDistPct,Lat,Lon,Brake,Throttle,RPM,SteeringWheelAngle,Gear,Clutch,ABSActive,DRSActive,P2PActive,LatAccel,LongAccel,VertAccel,Yaw,YawRate,PositionType
51.49154,0.5289947,52.07871881208961,-1.0115322273063263,0,0.76251554,6216.4087,-0.95796925,4,1,false,false,false,-19.90515,1.1579839,10.576052,1.6237624,-0.38822556,3
51.49965,0.5291442,52.07871413911826,-1.0115221645906431,0,0.7654748,6173.913,-0.9556491,4,1,false,false,false,-19.802006,1.326879,10.319986,1.6174208,-0.3696086,3
51.505573,0.5292936,52.07870946559837,-1.0115122478533212,0,0.76621467,6164.0376,-0.9544883,4,1,false,false,false,-18.64317,1.1560801,9.042738,1.6115918,-0.33080477,3
51.51138,0.5294428,52.07870470211871,-1.0115024766493044,0,0.7731196,6181.3154,-0.95796955,4,1,false,false,false,-19.023262,1.1412898,9.436636,1.6063889,-0.29290715,3
51.517464,0.52959204,52.07869993918759,-1.0114925599119824,0,0.78865606,6181.4995,-0.96377045,4,1,false,false,false,-18.5746,1.0771753,9.230801,1.6017283,-0.2656585,3
51.5229,0.52974117,52.07869508574816,-1.0114827891530214,0,0.8041924,6194.1904,-0.96870154,4,1,false,false,false,-16.97443,0.9543396,8.149664,1.5973035,-0.2661332,3
51.530647,0.5298901,52.07869023285726,-1.0114731639273655,0,0.81504315,6223.0605,-0.9713122,4,1,false,false,false,-16.7528,1.1551743,8.146038,1.5926858,-0.28637347,3
51.541874,0.5300389,52.07868537996636,-1.0114633927233487,0,0.8204687,6229.258,-0.9733432,4,1,false,false,false,-17.135187,1.3572408,8.988886,1.5876449,-0.31905994,3
51.55463,0.53018767,52.07868043711569,-1.011453767497693,0,0.8364982,6231.4033,-0.9724728,4,1,false,false,false,-16.80484,1.415619,8.611568,1.5820135,-0.35544133,3
51.570503,0.53033626,52.07867549371649,-1.011444142272037,0,0.86732423,6251.33,-0.96754086,4,1,false,false,false,-16.6567,1.6411645,8.409797,1.5759084,-0.37537655,3
51.58998,0.53048474,52.07867046090605,-1.0114345174914372,0,0.9077681,6260.4346,-0.96232057,4,1,false,false,false,-17.079737,1.9436681,9.238894,1.5695862,-0.38149026,3
51.610497,0.5306327,52.078665428095604,-1.0114250377990865,0,0.9413072,6256.6904,-0.9597098,4,1,false,false,false,-18.017673,1.9169835,9.996518,1.5632162,-0.38528463,3
51.629574,0.5307803,52.07866039528516,-1.0114155585517919,0,0.9607892,6265.878,-0.95825857,4,1,false,false,false,-19.22788,1.9712714,10.57794,1.5566016,-0.4125506,3
51.652016,0.53092796,52.07865527251494,-1.011406079304497,0,0.9627622,6276.7505,-0.9510074,4,1,false,false,false,-19.524529,2.2275338,10.302095,1.5494554,-0.44476977,3
51.678596,0.53107554,52.07865014974473,-1.0113967455905075,0,0.95388424,6270.035,-0.9365038,4,1,false,false,false,-18.59851,2.5189703,9.603769,1.5419682,-0.4486751,3
51.710297,0.531223,52.07864502752305,-1.0113874123215738,0,0.9326757,6248.9883,-0.9185205,4,1,false,false,false,-18.609255,2.7180653,9.659814,1.534807,-0.4043934,3
51.73719,0.53137046,52.078639814793064,-1.011378078607584,0,0.9171393,6227.0635,-0.91243005,4,1,false,false,false,-18.958256,2.2528412,9.194274,1.5285351,-0.34855717,3
51.75627,0.53151786,52.07863451210331,-1.0113687453386504,0,0.9166462,6251.819,-0.92055124,4,1,false,false,false,-17.602488,1.7637893,8.2788925,1.5229927,-0.31868246,3
51.77039,0.53166515,52.07862929992185,-1.0113595576030219,0,0.92700374,6309.165,-0.93476456,4,1,false,false,false,-16.959633,1.5917895,8.026926,1.5176352,-0.326311,3
51.78927,0.5318124,52.07862399723209,-1.0113503698673934,0,0.93982756,6350.216,-0.94491684,4,1,false,false,false,-16.958895,2.118493,8.148221,1.5119702,-0.35103697,3
51.815212,0.5319596,52.0786186051311,-1.011341328110126,0,0.94796556,6341.4263,-0.94897777,4,1,false,false,false,-16.943836,2.3820384,8.23887,1.5059613,-0.36810657,3
